status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Warmup,3626,false,false,ortho,2,14,avrora,2->arraylist,m1
Warmup,3632,false,false,ortho,3,14,avrora,2->arraylist,m1
Steady-state,3622,true,false,ortho,4,14,avrora,2->arraylist,m1
Startup,4304,false,true,ortho,0,15,avrora,2->arraylist,m1
Warmup,3744,false,false,ortho,1,15,avrora,2->arraylist,m1
Warmup,3642,false,false,ortho,2,15,avrora,2->arraylist,m1
Warmup,3640,false,false,ortho,3,15,avrora,2->arraylist,m1
Steady-state,3614,true,false,ortho,4,15,avrora,2->arraylist,m1
Startup,4224,false,true,ortho,0,16,avrora,2->arraylist,m1
Warmup,3722,false,false,ortho,1,16,avrora,2->arraylist,m1
Warmup,3625,false,false,ortho,2,16,avrora,2->arraylist,m1
Warmup,3635,false,false,ortho,3,16,avrora,2->arraylist,m1
Steady-state,3609,true,false,ortho,4,16,avrora,2->arraylist,m1
Startup,4193,false,true,ortho,0,17,avrora,2->arraylist,m1
Warmup,3736,false,false,ortho,1,17,avrora,2->arraylist,m1
Warmup,3643,false,false,ortho,2,17,avrora,2->arraylist,m1
Warmup,3617,false,false,ortho,3,17,avrora,2->arraylist,m1
Steady-state,3629,true,false,ortho,4,17,avrora,2->arraylist,m1
Startup,4176,false,true,ortho,0,18,avrora,2->arraylist,m1
Warmup,3755,false,false,ortho,1,18,avrora,2->arraylist,m1
Warmup,3670,false,false,ortho,2,18,avrora,2->arraylist,m1
Warmup,3664,false,false,ortho,3,18,avrora,2->arraylist,m1
Steady-state,3636,true,false,ortho,4,18,avrora,2->arraylist,m1
Startup,4216,false,true,ortho,0,19,avrora,2->arraylist,m1
Warmup,3762,false,false,ortho,1,19,avrora,2->arraylist,m1
Warmup,3657,false,false,ortho,2,19,avrora,2->arraylist,m1
Warmup,3672,false,false,ortho,3,19,avrora,2->arraylist,m1
Steady-state,3637,true,false,ortho,4,19,avrora,2->arraylist,m1
Startup,4253,false,true,ortho,0,0,avrora,4->arraylist,m1
Warmup,3768,false,false,ortho,1,0,avrora,4->arraylist,m1
Warmup,3642,false,false,ortho,2,0,avrora,4->arraylist,m1
Warmup,3633,false,false,ortho,3,0,avrora,4->arraylist,m1
